k,accuracy,precision,recall
1,0.9542772861356932,0.9616629136634225,0.9663145539906104
3,0.9595249184909175,0.9541676399384291,0.9830985915492958
5,0.9648501785437045,0.9622644172552318,0.9830985915492958
7,0.9701288619779538,0.9648447695816117,0.9887323943661972
9,0.9666356155876417,0.9545756181372621,0.9943661971830986
11,0.9648657040832168,0.9547090536636318,0.991549295774648
